seller,sales,location
4CloverInc,761,Toronto Canada
LorquinetteBricaBrac,345,Néoules France
AllNightGarageSale,5562,New York United States
ElekbasShop,30,Al Bīrah Palestine
vintageseiko,269,Falkirk United Kingdom
RecordVision1,1145,Waldorf Maryland
NeonBasement,399,Chicago Illinois
belleandwissell,22,Seattle Washington
GVTrading,301,Bernie Missouri
smilehood,4209,Annapolis Maryland
SteelBaroque,4,Lake Wales Florida
ThisVinylLife,980,Los Angeles California
SecondSpinDesigns,4860,Portland Maine
Beats45Records,261,Figueira da Foz Municipality Portugal
LifeofComics,1293,Montpelier Ohio
PSYKOTEE,1248,None
ThirstyOwlVintage,2543,Upland California
VintageWordandImage,957,Santa Rosa California
VinylRecordsPlus,513,Beaver Dam Wisconsin
SovietEra,5098,None
ellieandalice,544,Corfu New York
ButterflyInstruments,0,Rogersville Missouri
VintageShopandNew,1412,Maybrook New York
Cicheruname,248,Avignon France
TAANGRECORDS,1303,San Diego California
theNineATX,1741,Austin Texas
TrailBlazerRetroShop,77,Albany Georgia
LovelyVintageGlasses,5758,None
MusicProduction,133,Manchester United Kingdom
ipanema,196,Los Angeles California
CircaVintageCo,156,Topeka Kansas
DJsVintageCache,276,Aurora Colorado
CoolFindsFreak,160,Baltimore Maryland
McJuggerNuggets,13808,Rosenhayn New Jersey
JoshsVinylCellarUSA,66,None
WittyKittyStudio,72,Burnsville North Carolina
VinyllyVintage,18,South Bend Indiana
RejectamentaPhilly,247,Philadelphia Pennsylvania
That70sShoppe,3119,Yakima Washington
WaxAttackVintage,283,None
ChrisMilamStore,12,Memphis Tennessee
Yankeecrackpot,424,South Portland Maine
mauryscollectibles,1996,Dilworth Minnesota
GroovyDiscoveries,343,Fort McCoy Florida
WilnIdaho,34,None
crostree,129,None
ReVintageLannie,2672,Newport New Hampshire
aquarius247,1975,Punta Gorda Florida
MikasOrigami,112,San Francisco California
CaptainBob13,476,North Attleboro Massachusetts
Civico6,75,Recanati Italy
MRoweDesigns,2,Woodward Iowa
TheLoudPoets,42,Edinburgh United Kingdom
ChristinesCornerShop,709,Pueblo Colorado
justrecordsandthings,119,Irvine California
BaileyRetroFun,511,Bradenton Florida
StephenHines,31,Dayton Ohio
CalmZone,7,Adelaide Australia
Spiritwoodsgiftbox,1489,None
VintagePopandVice,441,Pomona California
RepurposedVinyl,332,Medford Oregon
PatchesMusicAnnex,654,None
VeiledThroughTime,2897,Altoona Pennsylvania
DevonsJewels,156,None
MusicMadman,133,None
FabFinds42,2097,West Hollywood California
RareFindsByMary,164,Marysville Ohio
VintageMemories412,2309,Cedar Rapids Iowa
mywifehatesmyhifi,7,Newark Delaware
AvennaDesign,26,Germany Georgia
joesbooksandthings,528,Irvine California
FrenchToastKitty,2006,Yorkton Canada
redbird1257,321,Howell Michigan
RetroClassics,1617,None
PiperellaCreations,0,North Houston Texas
marjorieanns,3039,Concord North Carolina
CanadaSells,9,Markham Canada
JimJamEmporium,10,None
VinylShopUS,9963,Suwanee Georgia
TheAstralAttic,352,None
HunkyDoryVintageShop,83,None
PeddlersStationLLC,200,Damascus (historical) Ohio
mdgiftart,1946,Broomfield Colorado
TapHandlesUntapped,17,South Lyon Michigan
ZoeticEnsembles,1789,Chicago Illinois
VixonVintage,616,Panama City Beach Florida
AlwaysWantedOne,535,Marcellus Falls New York
RASVINYL,927,Huntington New York
TreasuredTunes,2487,St Albans United Kingdom
BubbaVinyl,288,New Orleans Louisiana
TheFreckledBerry,7453,Medical Lake Washington
PaititiMarketplace,139,None
Oldgoodsforsale,0,None
IsolMisenta,0,None
ClassicVintageVinyl,33,Ipswich Massachusetts
NatesOddities,163,Random Lake Wisconsin
WhiteSpiderRecords,62,Woodbridge New Jersey
MuzicMatters2Me,191,None
ItsYourDaye,679,None
AnalogUrgeRecords,382,Port Angeles Washington
IsWhatIGot,2010,Meriden Connecticut
ShadyMapleWoodworks,1186,Toronto Canada
myparentsattick,1088,Downers Grove Illinois
33AndA3rdRecords,804,Sunland California
Fordsteins,663,San Antonio Texas
JerseyShorePickins,897,Toms River New Jersey
RetroJakk,547,None
TapeStore,1309,Madison Wisconsin
bottleofhair,122,Portland Oregon
COLLECTORSZONE,1887,Orlando Florida
IslandStuffStore,234,Charlottetown Canada
AttentiveTones,31,Norwich United Kingdom
okazou,293,Avignon France
Kingstonnational,401,None
UmmagummaRetro,673,Darlington United Kingdom
Atticsnoops,839,None
ColettesVintageChina,3,None
BoWaltonMusic,99,Hereford United Kingdom
OneRhodeEast,18,Westerly Rhode Island
AlexandroQuerevalu,0,None
EmbellishedCharms,233,Temple City California
KitschAndCurios,79,None
LogoStuff,847,Sanborn New York
mainstreetflea,36,None
sweetserendipityvint,2027,New Prague Minnesota
AkkesAttic,19,None
retroandme,27018,Staunton Virginia
YvonnesCache,103,Madison Tennessee
HypnosisMeditationUK,147,Manchester United Kingdom
CreativeSpiritGoods,1737,Greenwich Connecticut
pennysprizedpicks,177,None
TrinityRoad,18,None
FoundThemInTheAttic,517,Powell River Canada
SaintFrusquin,317,None
Retrophiliac62,42,San Francisco California
bigbangzero,4799,None
ExplorComeSeekToFind,1,Culver Indiana
irynabat25,2735,Stoneham Massachusetts
SoundsVintageShop,89,Athens Greece
vinylrecorddude,2324,Scottsdale Arizona
DisneyDad29,116,Riverside California
thesawdustshop,1419,None
EchoClubHouse,5332,Los Angeles California
BIFOCALSMULTIPLES,1,None
MOFOHARI,0,None
Philsvintagetoys,4,None
SuperCoolThings,795,Ottawa Canada
DWdesignsUK,279,Manchester United Kingdom
AltmodischVintage,3152,Mesa Arizona
circaC20,294,Rollinsford New Hampshire
vintagebaron,2079,Portland Oregon
musikland,5,None
SherwoodsTreasures,5193,Oakland California
Bruks86,0,None
FultonStreetMemories,365,Hartford Connecticut
vinylplus,111,Pittsburgh Pennsylvania
TreasuresMemories,1030,None
ArchiveBrooklyn,977,Brooklyn New York
Houseofshade,552,None
NorthernNicNacs,529,None
UNIQUEVARIEYSTORE,71,Pittsburgh Pennsylvania
thecountrybumpkinII,34,Elkhart Illinois
VintageAudioPlus,933,Arlington Texas
DRLOOKGOOD,89,Richmond Virginia
RockTheCradleMusic,84,Chicago Illinois
VinylRecordBarn,1837,Mulberry Indiana
VeniVidiVintageNJ,54,Westville New Jersey
DaytonaVintage,382,Daytona Beach Florida
SimoneBenoitVintage,279,Bloomington Minnesota
FlashbackSnapshots,1560,Casa Grande Arizona
Fchoicevintage,310,Wilmington Delaware
VintiqueofGlynn,391,Brunswick Georgia
lifescantlivewithout,357,Columbus Ohio
cherryshop,1791,None
ICRecordsandBooks,200,Indianapolis Indiana
llpix,187,Los Angeles California
JohnTercyakMusic,0,None
thursdayrainVTG,306,Elko Minnesota
FrockAndRollVintage,47,London Canada
parkledge,927,Center Harbor New Hampshire
VinylGrooves,15,Grand Rapids Michigan
SilverIsEternal,5,None
TeezToPleez,19,Lincoln United Kingdom
JRBUZZ,94,None
RMSCOLLECTIBLES,232,Las Vegas Nevada
vitaminvintagevinyl,1730,Bethpage New York
PatReddingScanlon,365,New York United States
TRASHPALACEvhs,1618,Cincinnati Ohio
krackerdan,2,None
CuteVintageToys,2069,Norfolk County Canada
MarilynOfMonroe,212,Monroe Connecticut
CaityAshBadashery,19948,Laurel Delaware
MidCenturyModeration,964,None
GintysVintage,18,Fife United Kingdom
RoosasCollectibles,291,None
GosselinVintageShop,69,Lanoraie Canada
3LadybugsInaRow,678,Mount Shasta California
SpecialVideosShop,122,New York United States
FrenchArtAndHeritage,480,Paris France
PureSound,0,Omsk Russia
WoodWell,2670,Trabuco Canyon California
FreeShippingVintuk,55,Birmingham United Kingdom
TreasuresAZ,339,Mukwonago Wisconsin
CirclePOriginals,40,Navasota Texas
BjeweledJustVintage,330,Waterdown Canada
RetroToysAndMore,3449,Port Perry Canada
TheGenXBasement,61,None
VintageArtistAttic,194,Fort Wayne Indiana
StyleUkraine,204,Kyiv Ukraine
Bonniesbitsandthings,395,None
RecklessAbandonFinds,17,New Haven Connecticut
betniksvintageshop,24,Tulsa Oklahoma
ModernDayVintage,1562,Appleton Wisconsin
DreamscapeVintage,294,St. Pete Beach Florida
CollectWhb,388,Westhampton Beach New York
VintageBlend,159,Barrington Rhode Island
Jentiquesintime,114,None
LunaStoreCreations,1,Orlando Florida
rust2retro,2711,Painesville Ohio
PlanetmernsVtgShop,1379,North Canton Ohio
VintageRemembrance,88,Zaporizhia Ukraine
DrasticPlasticMerch,8311,Omaha Nebraska
TheGrayPlatypus,3227,Redding California
MaggiesCellar,1917,None
Fulminea,12,Mexico City Mexico
Records4ever,652,Closter New Jersey
Retrovinevintage,213,Chicago Illinois
GreenSagedotcom,1038,Columbus Ohio
UnicultSupplyCo,901,Los Angeles California
SpinningPlaceFinds,80,Akron Ohio
AbbyClaysBackPorch,468,Chiefland Florida
EinsteinandPippy,813,None
GreenBuffaloBooks,1389,None
ZapBooks,196,Van Nuys California
UniquesandAntique,281,None
GodDoesntMakeJunk,532,None
GreenGardenGal,2204,Detroit Michigan
chezToulouse,815,Chicago Illinois
fromanotherday,10932,New Bern North Carolina
culPOPture,456,Boston Massachusetts
NorthernCousin,680,Cobourg Canada
VintageByThePound,2912,None
VintageLeighBoutique,20,Mesa Arizona
MediaObsolete,1920,Gloucester Massachusetts
putmeonrecord,34,Orlando Florida
UnusualBooks,1425,Lomita California
VintageToyHunter,1088,None
LaCreeperieBookshop,5285,Vancouver Washington
TheSoulConnection1,0,None
Omascollectibles,369,Phoenix Arizona
RetroFlashBoutique,33,Grand Rapids Michigan
JoesOddsandEnds,25,Toms River New Jersey
MartaMoon,559,Brooklyn New York
CastleSalvageFinds,316,Northampton Massachusetts
ItsFromThe80s,4,Murrieta California
recycledrecordarts,0,Myrtle Beach South Carolina
THEMYSTERYBOX1980,850,None
LostAndOk,22,Nottingham United Kingdom
SunLarkRecords,16,None
ThePoshPenguin28,46,None
Vinyllounge,65,Hoover Alabama
woodlandart53,548,Santa Clara California
OoakSnapGiftsLLC,71,Menasha Wisconsin
WelshHeirlooms,2160,Blaenau-Ffestiniog United Kingdom
CobblestonesVintage,1933,Simsbury Connecticut
backstashandbygones,2580,Idaho Falls Idaho
YourAuntiesPanties,2184,Moose Jaw Canada
TatumsTreasuresMN,278,Plymouth Minnesota
mikeambs,8,Los Angeles California
WonderlandStop,16,None
terminalzone,8,Portland Oregon
Toutestancien,1,None
SmilingSamCollection,683,None
BluetreeSewingStudio,3529,Phoenix Arizona
LugnutsBackyardsale,60,Los Angeles California
rosiestreasuretrove,423,Perkasie Pennsylvania
AliciaVintageShop,322,Fredericksburg Virginia
TheOldHouseDowntown,80,Buffalo New York
LundyLuArt,1,None
LostAngelsVtg,88,Los Angeles California
BytsySpyder,119,Los Angeles California
HolyCityVintage,711,Durham North Carolina
vintageavgear,9,Beverly Hills California
CoolAgainVintage,1346,Baltimore Maryland
PopRocketShop,322,Milwaukee Wisconsin
AroostookAudio,15,Linneus Maine
VaultOfDan,25,Broomfield Colorado
PinballFlyers,55,Collingswood New Jersey
louloumint,1151,Mount Sterling Kentucky
JessisVintageParlor,13,Mount Vernon Ohio
2ndHandRoze,292,Brick New Jersey
MIXORDIA,173,Memphis Tennessee
BigYellowRetro,1558,None
MixtapeVinylonDemand,1581,Portland Oregon
BarrysAttic,491,Chicago Illinois
ZecondXAround,2,Alhambra California
surfcitygranny,855,Huntington Beach California
SpiderVintage,1270,Manhattan New York
ElsVintagePlaza,21,Washington D.C.
CoralyAtHome,732,None
PlainOldFun,84,Mineral Point Wisconsin
TheVintageBitchFinds,3,North Scituate Rhode Island
BobsPurrrfectMix,98,Oklahoma City Oklahoma
JUSTSAYEFFIT,0,Orlando Florida
CinciPro,501,None
BlackDragonTreasures,214,Lynn Massachusetts
TheCollectableCabin,73,East Haven Connecticut
Vintangel21,4,Baltimore Maryland
GooseRadio,102,None
TreasureTrov952,111,Bloomington Minnesota
JanesMovingSale,409,Boston Massachusetts
Bidighten,60,None
SharonsSpecialStuff,147,Ida Grove Iowa
CandilandArt,2739,Conroe Texas
AmysCraftsNGoods,14,None
TheVinylRecordStore,2538,San Diego California
DrunksWithaPress,4569,Columbus Indiana
CornerofClutter,200,Calvert City Kentucky
DyDa,424,Tehachapi California
MagicSparky,48,None
ReclaimingMyStitch,29,New York United States
XXXVIII,51,Garland Texas
RevengeOfNerds,29,None
RosieMcVintage,666,El Cajon California
ArchaicEmpire,116,Spokane Washington
Retrorrific,487,Sudbury Canada
3StringGuitars,140,Sparks Nevada
HistoricAA,1,None
MeditationZen,6,Montreal Canada
MissPetraO,27,San Antonio Texas
WanderlandRecords,142,Overland Park Kansas
Vintage44Co,422,None
LGWaterMinistries,0,Newton New Jersey
Catsandclover,1800,New Martinsville West Virginia
honeystreasures,3880,Fairfield California
HypnosisFirst,1,None
vintedgemodern,2542,Detroit Michigan
MemoriesToRestore,726,Colville Washington
SoundNLightIndustry,596,Ahwatukee Arizona
CharismaGift,267,Palm Beach Florida
ThatGypsySoul,310,Adelaide Australia
OldChestnutCottage,448,Carrickfergus United Kingdom
StKenanArt,87,Hampshire Illinois
MyVintageDaydream,139,None
Helmutcollectables,0,None
StraightToHellToyco,97,None
FunkyReggaeParty,40,Brampton Canada
KaysRoom,34,Kalispell Montana
SandlotTreasures,113,Glastonbury Connecticut
musicclippingsuk,1702,None
SouthernBelleGarden,6,Eatonton Georgia
VintageMusicRoom,144,None
yezindeed,415,Miami Florida
FLAntiquesStore,137,Jacksonville Florida
HermannsAttic,198,Hermann Missouri
sewupcycle,1519,Algoma Wisconsin
joecoolsgems,176,Chillicothe Ohio
Vinyldrome,83,Toronto Canada
VintAGElessUSA,150,None
FlyByNightVintage,1513,North Augusta South Carolina
Letsgofindit,126,None
PhatmatzSlipmats,345,None
ElectricZink,310,None
FelixThree,58,Athens Greece
BellaArtDesign,766,Los Angeles California
MysticMountainVTG,1237,Vancouver Canada
ELVISiMPORTCD,7,Wakefield United Kingdom
Musicrecords,0,None
JoelRobertsonMusic,7,None
KaterKati,42,Bielefeld Germany
FaithViewCreations,532,Mount Hope Ohio
MemphisMemoriesStore,84,Benington United Kingdom
backtothefuture123,211,Virginia Beach Virginia
HATIRAindustries,111,Brooklyn New York
ByooByoo,146,Chicago Illinois
Thehucksterwagon,376,North Haven Connecticut
IrenesLushlife,81,Boston Massachusetts
TheJamesMarket,930,Nashville Tennessee
AfterHoursDropBox,39,Hinsdale New York
2xisnice,623,Crane Missouri
Logans80Store,287,San Diego California
MiscellaneousByDawn,1,Wellington Ohio
PinkTunes,108,Kyiv Ukraine
deweydecimals,266,Brooklyn New York
DobeArtStudio,59,Medford Wisconsin
EllBellArt2Antiques,288,None
Gctenterprises,314,Groton Massachusetts
PRINT3DD,1164,Kelowna Canada
AtomicPoodleVintage,367,New York United States
OmnibusOmurice,43,London United Kingdom
ParachuteSilk,148,Vancouver Canada
SouthernCrazyDeals,44,Conway Arkansas
ThePearlSwan,2435,None
YellowRoseTradingCo,28,Bowling Green Kentucky
CandyAppleVintage,110,Charlotte North Carolina
Sassypantsgrrl,2461,Palm Springs California
AuntRodysGoose,287,Springfield Missouri
AncestralSound,5,Long Beach California
helloalienmaedchen,246,Freiburg Germany
DefPenco,634,Amsterdam The Netherlands
M31Emporium,103,Winnipeg Canada
TinBarnTreasuresShop,3,Hallsville Texas
thecrowcreations,247,None
Vintage1950ToyBox,97,Jacksonville Florida
ghostofagipsy,39,None
CityofRefuge,9,Westminster Colorado
WestLakesADL,30,None
Apocalyptictronics,284,Grants Pass Oregon
BEFOREANDNOWBoutique,443,Douglas Georgia
RobertsVintageShop,13,Dallas Texas
DazedAndVintage,1790,Atlanta Georgia
WylieOwlVintage,6009,Gastonia North Carolina
iCharacter,12,Strasbourg France
GlobalSectShop,707,None
that80sstorenmore,9,Selah Washington
myvintagedelight,1232,Wichita Kansas
GingerAckley,0,Cleveland Ohio
OldSoulAntiqueCo,363,Canton North Carolina
RescuedFromThePast,414,New York United States
imageriE,478,St-Jean-Port-Joli Canada
BSCCGG,112,Eldorado Ohio
AngieGoods,537,Upper Sandusky Ohio
HellaRetro80s90s,302,None
Lindaswarehouse,14,Dyer Indiana
MoonlightandMagic,966,None
RevivalMusicRVM,51,Yogyakarta Indonesia
BooksOnMain,1373,Newberry South Carolina
Perenne,27,Chandler Arizona
GaiaDelights,15,None
EsthersVntgTreasures,113,McAllen Texas
MCMinSRQ,70,Sarasota Florida
MiggysAtticThingies,1086,Chester Virginia
RetrosaurusRex,1104,Fall Creek Wisconsin
VintageToysRusKid,1160,None
HypnoMedi,2,Minneapolis Minnesota
JohnMichaelOfMs,0,Ocean Springs Mississippi
GlobalPrime,45,Chicago Illinois
ClassicTreasureAttic,86,Hanceville Alabama
EarthLoveVintage,1830,None
HappiestSouvenirsOE,207,Oakley California
CraftySueShop,3199,Long Island New York
ThoseGals,2209,Sheboygan Wisconsin
vintagepoetic,2349,Lansing Michigan
TheSmallRetroThings,38,Riga Latvia
7oveyourself,13,None
TotallyVintage,3671,Marion Illinois
ArchelausRecyclers,2410,Kennedy New York
TomsTreasureTrunk,8,Bradenton Florida
auntemmascloset,288,None
PutFamilyFirst,4165,Mayville Wisconsin
IDALV,73,None
MaggiesShopTherapy,781,Dallas Texas
magadoro,111,Los Angeles California
ShadowTrashTapeGroup,91,Boulder Colorado
fromthelights,5,None
MinnesotaJunker,388,Finlayson Minnesota
AsterAntiques,124,City of London United Kingdom
KitschABrock,99,Malbuisson France
ninasmelange,10,None
lensfilter,8,None
SecondTimeAround888,150,None
TRUEBELIEVERSHQ,571,Allston Massachusetts
RetroDelia,948,Basel Switzerland
SingASongForMe,0,None
miwalyric,4,None
SouthernGypsy1982,0,Folsom Louisiana
EtsyVintageCollector,238,Burlington Vermont
LEATHERWEAPON,160,None
FLIPNPICKER,42,Phoenix Arizona
TreasureTrovebyJamie,19,None
rockcycleonline,1289,Farmland Indiana
QuantitiesofQuaint,2917,Minneapolis Minnesota
antiquatedfuture,13014,Portland Oregon
BrennysBoutique,112,Pensacola Florida
Risstapes,1073,Des Moines Iowa
LesTrouvaillesducoin,20,None
TreasuresAndBeads,39,Mico Texas
V1NTA6EJO,686,Loxton Australia
HodgePodgePam,11,Enfield Connecticut
CrystalsOmChakras,2139,Canton Michigan
KellysEclecticCo,194,Noble Oklahoma
DaisyLaneAntiques,737,Jeffersonville Indiana
LostTreasureschest,62,None
TheRecordVault,167,Bristol Maine
BettysRetroRoom,307,State College Pennsylvania
TimelessTunes,2624,Lakewood California
JustinJohnsonMusic,61,Nashville Tennessee
PlanesChasers,5387,Vancouver Washington
NiftyThriftyStoreCo,1437,Tampa Florida
VintagePeggyBoutique,135,Szczecin Poland
Themusichut,85,Erlanger Kentucky
PsychicThirdEyeTarot,476,Pembroke Pines Florida
aPrairiePeddler,471,Morganville Kansas
RepurposedKreations,279,None
taskkforcevintage,6,None
DragonLaire,251,None
RetroVintageCool4U,1,Saskatoon Canada
JEANSGALOREANDMORE,24,Garden City Michigan
RubysRecords,0,None
RedDoorCollections,266,Carthage Illinois
MadreGanza,2605,Waukegan Illinois
CreeksideCraftsEtc,10,None
RockyMtnVintageFinds,238,Broomfield Colorado
MichellesVarietyShop,1758,Elmore Ohio
RalphaRecycled,951,Rome Italy
ChezLes2Maries,31,None
Musikkogdrill,135,Oslo Norway
CaraWildmanMusic,0,None
LoefflerHolzarbeiten,5  on Etsy,None
TheMadMarchHareStore,27,Bristol United Kingdom
IveGoneModVintage,929,Phoenix Arizona
DipsyGypsy,23,Whittier California
ThatVinylGuyRecords,9,Toronto Canada
ecnirp1999,417,None
2SistersUniqueStuff,0,Sherwood Arkansas
cattreasure,641,Red Wing Minnesota
ProducersCrate,2,New York United States
CapeCodModern,2391,Harwich Massachusetts
ThisNthatGallery,1928,Union Missouri
GentleSpiritLLC,45,Littleton Colorado
LetHeavenCome,425,Québec Canada
KCextraStuff,0,None
KINGNEIL,41,Trumbull Connecticut
dickandjaneretro,347,Saugerties New York
PatsPaints,2356,College Station Texas
818Paradox,174,Boone Iowa
UncommonArtSupplies,1786,Saxapahaw North Carolina
therunawaypancake,3332,Sacramento California
InsideOutsiderArt,371,Portland Oregon
ValeriesVintageVinyl,7,Gilbert Arizona
EstatesUnknown,796,None
girlies23,0,None
tcgVINTAGEetc,165,None
KatsVintageTreasures,910,Riverside California
SicanniMusic4theSoul,564,New York United States
ANTIGOs,1074,Los Angeles California
Dipdoomagazoo,0,None
RickyKooleStore,7,None
ZuzusCollections,15,Lancaster Kentucky
LallabaruHome,524,None
StarseedSupplyCo,2995,Centerville Ohio
Songeroo,1,None
TheEarlyBirdFinds,803,Jenison Michigan
IsleOfVintageShop,79,Sandown United Kingdom
RedDevilRocket,42,Sherbrooke Canada
ArrangementsUSSR,36,Zaporizhia Ukraine
Trashtiques,2725,Sweet Grass Montana
ShopRetroGoods,53,None
AmyFindsEverything,806,Brenham Texas
VinylStandard,711,San Diego California
LaurasTreasuresLV,258,Las Vegas Nevada
RockLifeDesigns,315,Williamstown New Jersey
TieDaddyVintageShop,2003,Deerfield Beach Florida
VintagePinBadges,107,None
MEOWMEOWZpasadena,442,Pasadena California
TheRetroHuman,1,None
SwankModern,91,Palm Springs California
Madhouse319,0,None
DominicAngerame,6,None
MyVintageThingsShop,122,Sequim Washington
ClintLaPointeMusic,6,None
TheCreakyHinge,348,Darlington Indiana
PrestigeVinylRecords,199,San Diego California
BandMStore,0,Banja Luka Bosnia and Herzegovina
BreakTheRecord,1171,Sarasota Florida
espritdantanvintage,0,Aix-en-Provence France
DroppedPencil,9,Waterford Wisconsin
DawnLangstrothArt,74,Toronto Canada
BillsMusicPlus,77,None
TheWanderingPoetess,93,Norwalk Connecticut
EcoRetroStore,937,Southsea United Kingdom
Hollowlogmarket,504,None
AffordableBooks,560,Portland Oregon
philbshop,30,Chicago Illinois
BuckStallionEmporium,4,None
FreeTimeApparel,736,None
RestorationWaresVtg,16,Charlotte North Carolina
PeacefulPiano,2,Gnesta Sweden
VintageSmilesUS,81,Las Vegas Nevada
FeleciasFinds,376,None
VintageBoutique4U,2168,Kyiv Ukraine
2010paul9562,183,Marina del Rey California
OfSmallThings,1963,Peterborough New Hampshire
Cobblestore,1369,Richmond Virginia
JunkYardBlonde,5344,Jacksonville Florida
RapsAndHats,1,Thousand Oaks California
LeyaandEve,274,Miami Florida
reusemuse,80,None
AntiqueApartment,637,Vancouver Washington
TricycleVintage,526,Spokane Washington
ThePrimitivePioneers,57,Conowingo Maryland
WaikikiKitsch,1179,Detroit Michigan
MySoulRepair,711,New York United States
aBarnesBarn,98,Moberly Missouri
OrangeyDukiesFinds,164,Bessie Oklahoma
oldenewsvintage,78,Mission Canada
EverydayZenCreations,21,Toronto Canada
MollyMayRockwell,6,Dallas Texas
IFoundItInTheWoods,14,Loma Mar California
CastIronGuy,43,Sylvania Ohio
doyourememberwhen,2335,Dallas Texas
beffyfaye,1658,Port Neches Texas
AuntMaryGiftShoppe,8,Citrus Heights California
WindWhistleHill,567,Crossville Tennessee
dollybirdvintage,487,Greeneville Tennessee
Williesrarebeatles,16,None
ItsYourThang,41,None
ThoughtDecayPunk,51,Vancouver Canada
Wickersons3,13,None
jamesbarrymusic,46,Williamstown Massachusetts
ArchaicWonderland,86,Newville Pennsylvania
CherryPieCollection,76,Redmond Washington
VintageCollectiGifts,0,None
ElsewareVintage,83,Mankato Minnesota
CloudsandCurrents,13625,Danbury United Kingdom
TheCardboardCobbler,79,None
AllStarOpera,9,Seattle Washington
buzzinflythrift,18,Boston Massachusetts
GailsPopCycle,271,Dayton Ohio
AGsAtticTreasures,454,Whitewater Wisconsin
AiMCollectibles,1,Chicago Illinois
frommetoou,132,Bokeelia Florida
KKJD1,481,Meansville Georgia
KMSCollectibles,1730,Phoenix Arizona
atticpickings,130,None
AtomicRobotComics,4039,Lecompte Louisiana
VintageAndRetroNL,168,Lelystad The Netherlands
SesameShmuke,1411,Ogilvie Minnesota
SedonaSuki,7,Sedona Arizona
OKGoodRecords,18,New York United States
ASCuriosities,417,Graulhet France
Shelleyscollectibles,336,Conyers Georgia
LOVELADYBIRDVINTAGE,1685,Westport Connecticut
BAZARITALIA,253,Capestrano Italy
Gr8fulboneVintage,460,Bechtelsville Pennsylvania
Funkyfinder,850,Saint Charles Illinois
LindaLauren,282,Mountainside New Jersey
MabelNadine,67,None
Pinoodles,530,Galesburg Illinois
MCFOOL,960,Asheville North Carolina
cosmicpeaces,398,Hermon New York
DawnStitch,446,Spearfish South Dakota
ForgottenGeekery,198,None
Toyscomics,6618,Little Rock Arkansas
SoloServe,576,El Paso Texas
2BirdsWithOneStone,302,Rancho Cordova California
TheTchotchkeBoutique,243,Farmington Pennsylvania
thevintagedecorator,1632,Sacramento California
CocoRaes,317,Havelock North Carolina
AndrewProninGallery,1023,Moscow Russia
NearlyThereMinistry,1,None
HighVibeStudio,26,Los Angeles California
StreetUrchinBooks,809,Tucson Arizona
BeachGrove,177,Vancouver Canada
TitanicVintage,101,Brooklyn New York
VintageMemorabiliaCo,390,New York United States
CMJsTreasures,746,Coatesville Pennsylvania
FriendsRetro,1681,Helena Montana
MsKatieMade,56,Lubbock Texas
ConniesGiftBox,1093,Akron Ohio
JoyfulSmallBusiness,0,Calgary Canada
SeeMeg,111,Los Angeles California
vintarama,319,None
LoveBuzzCo,2518,Richmond Virginia
PicassosStudio,830,Toledo Ohio
PBTimelessTreasures,1124,Endwell New York
SerenityRoad,8,Lombard Illinois
csRetro,10358,Hartford Connecticut
VintageByDuran,123,Las Vegas Nevada
PiperRoseVintage,389,Walnut Creek California
ChicAvantGarde,1884,Lewes Beach Delaware
KingdomGirlTreasures,682,Toronto Canada
DigVintageStuff,1206,Leeds United Kingdom
BMTVintageWares,298,Pittsburgh Pennsylvania
BusterJustis,280,None
BinaDella,74,Browns Valley California
coldnaps,798,Philadelphia Pennsylvania
EmpireAntiques,831,Belfast United Kingdom
KarensChicNShabby,3300,None
MenopauseTheMusical,380,River Edge New Jersey
MillStreetClassics,1779,Horseheads New York
4TheLoveOfVintage,3835,Milford Connecticut
CyberSalesByRick,348,Vancouver Washington
HumbleToadStore,91,Seattle Washington
KatandCharlies,18,McMinnville Tennessee
HAPPYHAPPYTOYSTOYS,1615,San Diego California
AllAboutTapes,12,Springfield Missouri
THOUGHTFULxTREASURES,1758,Florida New York
KirksCornerShop,104,Pasadena Texas
GATGARB,1,Grand Rapids Michigan
TorstenOldenburg,8,None
KatoEmporium,79,None
OverEasyAntiques,283,Phoenix Arizona
AtomicFrostedBombs,324,None
ReSpinIt,3193,Sacramento California
IllyriasToyChest,29,Glendale California
Mimiseed,114,Atlanta Georgia
AuburnAmyFreshPicks,741,Auburn California
JBFindings,730,Clarkston Washington
ZacHavoc,9,Minneapolis Minnesota
TamiKesyArt,419,Port Washington Wisconsin
MarjiStevens,139,Rush New York
DerguteHandel,828,Colonie New York
VinylNeat,24,Lecce Italy
rabrecords,68,Greensboro North Carolina
FleurDeLysAntiques,2073,Montreal Canada
CoolDoom,320,Seattle Washington
muckychris,11215,Cherry Hill New Jersey
TheMusicCircle,1740,New York United States
HandMTreasureChest,386,Porter Heights Texas
RetroGamingTreasures,251,None
BottleReturn,85,Ransomville New York
GeorgiaEstate,43,Atlanta Georgia
02miataSE,0,None
GombitaEnterprises,376,Bradenton Florida
ResurrectionPill,226,Riverside California
BluePixie98,106,None
VintageSunshine77,13,None
PoorLittleRobin,3413,None
ThatchVintage,4842,New Orleans Louisiana
JenuineCollection,655,Hope Rhode Island
candntreasures,253,None
BeautifulThingsUa,31,Zaporizhia Ukraine
hillhaven07,196,West Covina California
CreoleBabies1973,213,Los Angeles California
WisdomLane,1100,Springfield Missouri
BagelBitesVintage,34,None
