seller,sales,location
RemembrancesofYours,1181,Athens Alabama
RockPaperTreasures,372,None
AntiquesGaloreGal,3074,St Louis Missouri
CastoffTreasures,1615,Grand Haven Michigan
HomesWithHistory,676,None
BasementBoutiqueMall,1419,San Antonio Texas
brooksandthurman,1429,Salem Connecticut
DaysofYoreTreasures,1035,Tatura Australia
vintagetoyshoppe,1226,Logan Utah
sallys4025,953,None
theTRUNKvintage,802,Philadelphia Pennsylvania
crisystreasures,338,Grass Lake Michigan
DayDawnDiscoveries,85,Germantown Tennessee
TailorUponIt,216,None
VintageNEtcetera,404,Madeira Beach Florida
GatherGifts,447,Los Angeles California
DomesticBlissJRC,2026,Mt. Dora Florida
Mountaintique,151,Nathalie Virginia
urbanalpaca,814,Denver Colorado
KilianCellarDoor,858,Bristol United Kingdom
DriftNiceties,1801,Solva United Kingdom
BoiteAMerveilles,196,Saint-Germain-sur-Ay France
ArchivistandCo,245,Paris France
Bookman1962,18,Fairfield Connecticut
pastonvintage,320,None
NanaBarbarastreasure,826,Cheltenham United Kingdom
BoutiqueByDanielle,182,Brighton United Kingdom
jennywebsellers,75,None
BoydUsedRareBooks,406,Portland Oregon
megsbest,19,Moundsville West Virginia
baywindowbooks,177,San Francisco California
DimeStoreTimes,1,Steinbach Canada
AllCuriosities,973,Thousand Oaks California
ALovableJunkster,841,Colorado Springs Colorado
12thStreetDesignsVA,398,None
HollywoodBoulevard,271,None
SwellSource,762,None
TheVioletLemon,72,Cocoa Beach Florida
HansMaestroMusic,33,Los Angeles California
TimeStampVintage,14,Raleigh North Carolina
EveryPicTellsAStory,3353,London Canada
EMMEZTHINGS,372,None
naturegirl22,2845,Bellingham Washington
PortraitsandPresents,2426,Olympia Washington
scandnotes,52,Chesterton Indiana
SandRTradingCo,440,Phoenix Arizona
LoveDoveTrading,8519,None
finleysvintage,520,Lafayette Indiana
Mycousinmorag,1032,Dunfermline United Kingdom
FoxVintageUK,2046,Buckingham United Kingdom
jeromeboutik,37,Beauvais France
AnOzarksGirl,512,Lampe Missouri
tinprincess,1864,Cincinnati Ohio
TovasTreasures,758,North Miami Beach Florida
Sunflowermom,4971,Holland Michigan
SoFestiveShop,4882,Salt Lake Utah
BooksMapsandStuff,1146,Sayville New York
HotelValentine,471,Las Vegas Nevada
OneFairfaxRoad,1567,Los Angeles California
MonacoHandmade,65,Greenwood Indiana
StrollinMemoryLane,663,Vermilion Ohio
GlobalPalazzo,523,Chicago Illinois
TheDustyTome,1337,Dellrose Tennessee
BestMusicStuff,249,None
AllAboutVintageUS,15,Oklahoma City Oklahoma
MushroomMonroe,103,None
GlitteringDragonfly,2717,Wausau Wisconsin
FunkyPoodles,488,Columbia Maryland
IndigoArtisans,3152,Leicester United Kingdom
GoodyBagBoutique,283,Goodyear Arizona
ALEXLITTLETHINGS,3012,Modesto California
hungarianfolkmusic,722,Budapest Hungary
JeansVintageJunk,853,None
JulesetMarguerite,326,Saint-Ilpize France
ackantiques,636,Mystic Connecticut
KentuckyTrader,3229,Colorado Springs Colorado
BeholdAntiques,161,None
HomemadeByHoyt,331,None
FormiaPress,0,None
bookcollector,40,Chadds Ford Pennsylvania
DarqueCrystal,90,Canton New York
KDeuserCreations,36,None
BanditBooks,40,Seattle Washington
MicksVintageBookshop,66,None
KandLTradingCo,324,None
AvasHopeChest,154,Sugar Loaf New York
ColsonsCollectibles,490,Dallas Texas
LouisandRileys,1044,Winnipeg Canada
KaysVintageCards,858,Dormansland United Kingdom
BornBeforeTheBeatles,40,Bellevue Nebraska
ChristinaStudio1,19,Rome Italy
AntiquesNOldies,353,Titusville Florida
LonghairMemories,319,San Miguel California
ADORNbyAmandaYamate,29,Chicago Illinois
VoiceCoachWorld,0,Palma de Mallorca Spain
2KalamazooGypsies,166,Kalamazoo Michigan
VintageMcCoy,201,Camarillo California
LeGrenierdEsmeralda,301,Nogent-sur-Vernisson France
FloridaPickinAndArt,1102,Seffner Florida
FelicesFinds,1095,Middletown New Jersey
Retiredhungarian,4772,Sturgis Michigan
KatiesAngelwings,870,Ruskin Florida
tlgvintageart,1030,San Francisco California
MyEbayShop,1062,Bucyrus Ohio
ShepherdsMountain,13,Elverta California
YesterdaysGaze,249,Athens Greece
SomeWhereVintageIT,8,Rome Italy
SquireSongbooks,0,Fair Lawn New Jersey
RiverRatAntiques,2140,Hermosa South Dakota
monicagilmusic,16,None
BythewaysideXmas,1932,Crawfordsville Indiana
HappyForestVintage,1119,Chicago Illinois
wolfcatsthisandthat,329,Piper City Illinois
CottageontheBluff,833,Anchorage Alaska
Lionfishvintage,1164,San Rafael California
TheFlyingHostess,5738,Charlotte North Carolina
CollectorGoodsToGo,66,None
LaLaLadysLovelies,109,Evans Georgia
RomanticRebellion,10,London United Kingdom
HippityHistory,75,None
AllOverTwisted,101,Pittsburgh Pennsylvania
TransientBooks,4403,None
TurnPikeTreasures,717,St Louis Missouri
GuitarJuice,3,None
AncestralDigs,157,Venice Florida
BolingerAntiques,5135,None
Gibsonbooks,16,Owens Cross Roads Alabama
kyokoscreations,751,Seattle Washington
That70sChickVintage,454,San Diego California
Amberatomic83,5,None
VintageAtlantaFinds,770,Atlanta Georgia
fredsoldstuff,133,Harrisburg Pennsylvania
mudintheUSA,1573,Roseburg North Oregon
oldjunkagain,1088,Hertford North Carolina
autena,1664,Cincinnati Ohio
SecondWindShop,9688,Phoenix Arizona
MyVintageProvence,1070,Saint-Saturnin-lès-Apt France
AuntyEntitysVinyl,128,Washington D.C.
PA484Sales,1626,Boston Massachusetts
MaineSale,377,Norway Maine
Bernadetteskid,153,Newburgh New York
InheritedTraits,2136,Fort Worth Texas
ParadoxCOINnFOSSILS,16,St Louis Missouri
garagesale715,1013,Eagle River Wisconsin
framedvintageart,1842,New York United States
TheOldBarnDoor,6399,Picton Canada
DeLegendOGRarities,7,None
WendiShiMusic,5,Tampa Florida
FrenchVintageEtc,351,Germigny-sur-Loire France
Wahoozitcollectables,151,Tuolumne California
DianneDeals,406,Lennon Michigan
MacabreManifestation,94,South Hutchinson Kansas
RMDreierBookaneer,148,None
DAILEYSHOPPER,749,Millville New Jersey
WhatsOnTheShelf,2389,Blue Springs Missouri
yesteryearglam,6692,Chicago Illinois
CassandrasNotebook,6612,Bensalem Pennsylvania
CheekyVintageCloset,9181,Madison Wisconsin
ALillaBazaar,1586,Troy Alabama
NedsVintageGarage,150,Saint John Canada
nunnsense,177,Happy Valley Oregon
Thebeezkneezvintage,7305,Wethersfield Connecticut
VintageBuffaloGirl,1283,Columbus Ohio
TessesAttic,1432,Freehold New Jersey
GramyUkulele,1,None
overthetopoverstock,1134,New York United States
VannaBsVintage,107,Chillicothe Illinois
Redcurlzs,2413,Toronto Canada
ReGiftedCo,3,Afton Tennessee
thelostrooms,7357,King of Prussia Pennsylvania
OzRoad,545,Indianapolis Indiana
Daysgonebytreasures,5757,Sandy Hills Utah
vintageno35,1024,Des Moines Iowa
AnotherWomansTreasur,966,Plymouth Pennsylvania
BeatnikRepublic,633,Axedale Australia
VintageThriftnstyle,1160,Elk Grove (historical) California
DeadMenTellingTales,478,Tracy California
BreatheandLetItBe,394,Bratislava Slovakia
CulturedKooks,497,Denton Texas
USSRVintageShop65,501,Dnipro Ukraine
moxiekin,4786,Maine United States
TheJunkWoman,500,Leitchfield Kentucky
BelindasStyleShop,5183,Grass Valley California
QualityMusicGear,178,Twinsburg Ohio
OneStopNailsDesigns,1733,Las Vegas Nevada
UpswingVintage,1825,None
MissJeanJellyBean,1372,Macedonia Ohio
CompleteEstate,60,Battle Ground Washington
LilyAnnTreasures,304,Santa Maria California
BooksReDunn,279,None
quaintwords,67,Jacksonville Florida
RealmofVintage,2,Spokane Washington
HermionesCloset,2316,Austin Texas
ChicMouseVintage,1063,Washington Missouri
VintageBoutique65,31,None
CrystalCoaster,2110,Swansboro North Carolina
AmarDiaries,203,None
CollectorCowboy,366,None
JuliasChildVintage,516,Danville Virginia
LighthouseAntiquesTX,405,Houston Texas
Harky47Goods,321,None
sheetmusicwarehouse,0,Dawlish United Kingdom
kd15,710,Cincinnati Ohio
RustyDiamondBoutique,703,None
23bestFORyou,168,Arezzo Italy
ArthursPaperEmpire,216,Okehampton United Kingdom
vanislevintage,224,Port Alberni Canada
PartyArt,41,None
OldOar,1351,None
ArtisticDesignsBySam,0,None
greenatticvintage,125,Stillwater Minnesota
KatsKottage,51,Galena Missouri
NathanStanleyDesigns,0,Minneapolis Minnesota
GeorgeSalasGuitar,0,None
BarbiesBoutique10,74,Pueblo Colorado
1just4udesigns,2557,Charlotte North Carolina
GlitteringMeadows,64,Saylorsburg Pennsylvania
GroovyFindsShop,882,Columbia Missouri
retrievevintage,437,Big Bend Wisconsin
GoodVintageHunting,1013,Atlanta Georgia
AndreasArrangements,3,None
TransferofTreasures,1582,Brooklyn New York
KimWoodsVintage,1736,Street United Kingdom
BelleDeJourByPamela,257,Atlantic Highlands New Jersey
InteriorVintage,2311,Rensselaer Indiana
ReFabulousbyWendy,74,Cedarburg Wisconsin
MidCenturySara,529,Hoisington Kansas
DadIsDownsizing,1273,West Fargo North Dakota
TheQuirkyGnome,20,McMinnville Oregon
FarmGirlVintagePlus,5,Centerburg Ohio
BabyBoomerProud,128,Wichita Kansas
BearHollowCarvings,39,Smethport Pennsylvania
VintageRoyalTreasure,425,Pittsburgh Pennsylvania
kraftykate53,203,None
FinnKennedyBooks,102,None
ModsVintage,244,Oakland California
LuckyLeesLabyrinth,2757,Pittsburgh Pennsylvania
CharliesVintageAttic,1503,Locust Grove Virginia
CliftonSupplyCompany,3572,St Louis Missouri
MacsOldStuff,73,None
NoPlaceLikeVintage,261,Minneapolis Minnesota
SHABBYsureBOOKSnMORE,166,Pittsburgh Pennsylvania
BlissfullVintage,179,Cheltenham United Kingdom
wildflowerandwest,151,None
recherchedutemps,17,None
BirchardHayes,120,Jamison Pennsylvania
AdoredBlessings,347,Windsor Canada
MotsujiTemple,333,Saskatoon Canada
HeySailorNiceVintage,335,Atlanta Georgia
NAWTIEHOPE,284,Thousand Oaks California
ALightThrough,0,None
CindysPrairieOutpost,949,Terre Haute Indiana
CactusWrenVintage,739,Phoenix Arizona
PorteDuSoleil,265,None
CraftyByNatureStore,1526,Webster Massachusetts
MusicAndClassics,475,None
NewYorkByVarone,304,None
UniquelyMollie,505,Auburn Alabama
BooksOffTheShelf,293,Basom New York
leapinglemming,4709,Coeur d'Alene Idaho
JackRobOnEtsy,728,New Britain Connecticut
StandingStonesMusic,64,Louisville Kentucky
WhenFrogsFly,78,Palm Beach Florida
VintageLoretto,81,Las Vegas Nevada
777VintageStreet,680,Pompano Beach Florida
GuitarsWantedNow,12,Spring Hill Florida
CrowsNestGifts,294,Summerland Canada
FrenchFripperies,370,None
thelittleblackbarn,3129,Rehoboth Beach Delaware
QuirkyCoolTreasures,706,Winnetka Illinois
LilyFernVintage,580,Alexandria Virginia
BrownFoxVintageShop,21,Sacramento California
newprairiestore,168,Bates City Missouri
SidelingViewCrafts,122,Hancock Maryland
CJdigitalCreations,12,Ivins Utah
CurioCentral,1,West Cowes United Kingdom
VintagebyDaisyStudio,3,None
BooksAndMoreByCeil,56,Rochester New York
WonderCabinetArts,5971,Tarpon Springs Florida
IrishShoppingBasket,1697,Antrim United Kingdom
NobleVintageShop,526,Salem Oregon
ChucksTunedUpMusic,8,Arvada Colorado
ChinaInABowlShop,0,None
MyraMelinda,7104,Columbus Mississippi
AppleberryCottage,1826,Forest Grove Oregon
GoodTimeFindsAndMore,14,Jamestown New York
BrightSideEnterprise,268,None
DJintheUK,672,Lancaster United Kingdom
YoriNickArt,248,Atlanta Georgia
KeystoneVintageUS,490,Effort Pennsylvania
ReadItagainbooks,535,Oak Grove Missouri
BVAntiques,480,Whitinsville Massachusetts
PungoVintage,2944,Virginia Beach Virginia
OftenForgotten,48,Franklin Louisiana
gregfeldman,64,Palm Coast Florida
DerrickSabourinYT,3,None
westeggbooks,0,None
KoolKatMidCentury,479,Pompano Beach Florida
Beachbygones,102,Woodbridge United Kingdom
IrishBarnVintage,2186,Carrickfergus United Kingdom
Vintastical,242,None
Shopmyclutterbug,9,Springhill Louisiana
ruefedor,920,Reims France
FunTimeCo,54,Markham Canada
BarnardosCharity,116,Rugby United Kingdom
GroovyIndulgence,219,Greensboro North Carolina
retroactivevintage,4188,Fort Wayne Indiana
Gillyflowers16,420,Kidderminster United Kingdom
CapturetheVintage,47,None
TheVintageReadShow,38,Queensland Islands
oldandcrafty,290,Hillsdale Michigan
BlakeVintageShop,26,None
ValkyriePublications,9,Valley City North Dakota
DanielFarrellMusic,0,None
StorytellerGirl,241,Bonners Ferry Idaho
BrickCity,2943,St Louis Missouri
TheVinylDeeps,107,Baltimore Maryland
MungoSales,5,None
BabisTreasures,4872,None
FrenchCottageMarket,89,Decatur Michigan
IrisFoldingCrafts,878,Durham North Carolina
VintageCDChyld,714,Enterprise Oregon
VinylOverload,76,Berlin New Jersey
SaltarellosOddities,3,None
TheOddityOddessey,64,Naples Florida
FreshBreezeVintage,1137,Elkton Maryland
BBsAtticFinds,81,None
Pickingthe412,116,Carnegie Pennsylvania
greatgrandmaagnes,661,Ludington Michigan
cricketcapers,22145,Bridge City Texas
FarnsworthFamily,57,Pittsburgh Pennsylvania
TaborMusicBox,88,Randolph Vermont
SeamsSewVintage2,376,None
esmeelynne,910,Hot Springs Village Arkansas
JunkRadical,315,Missoula Montana
WillowValleyVintage,1249,None
MissBargainHuntress,4106,San Francisco California
WISHUPEACEANDLOVE,2,None
SensibleBeauty,2098,Saint Charles Missouri
JonBlanckMusic,1,None
themadcollectorusa,97,Costa Mesa California
LoisandJack,2407,None
Vintagerescuemission,651,Temecula California
vintagebooks715,180,None
Voiledelin,333,Locmiquélic France
Classyfleas,199,Sweetwater Tennessee
GrannySmithsPlace,1512,Leesburg Florida
Globrazil,0,None
MillieandCompany,122,Lawrenceburg Indiana
BackwoodsTreasure,2453,Grand Rapids Michigan
dollyjayne,1141,None
VintageDelightShop,883,Edmundston Canada
MarysVision,139,Springfield Virginia
PocketsoftimeStudio,12,Lancaster Kentucky
PhleppsVarietyStore,118,Cañon City Colorado
MermaidMemoirs,700,Merced California
ThingsPlusMoreFinds,28,Edmonton Canada
MerrilyVerilyVintage,2938,None
Royalillusion,818,Flint Michigan
USAntiqueShoppe,51,Decatur Illinois
OnePennyWestern,407,None
TheBarnLady,481,None
LindasLovelyDolls,1051,Ashland Massachusetts
MingusAntiques,246,Traverse City Michigan
OpenslateBooks,492,None
MurielJoy,564,Terre Haute Indiana
TopSecretShoppe,972,Abbotsford Canada
PaintedLadyAntiques,2107,Antioch Illinois
ValuableVintageStore,43,El Paso Illinois
RosysCozyCorner,1283,Richland Springs Texas
RelicRoundup,272,Seattle Washington
BusStopVintageFinds,111,None
VintageCornerStoreSC,274,Summerville South Carolina
DebsPickerSouL,826,Hamlin New York
SovietLife,565,Kharkiv Ukraine
VintageByJessie,2456,LaGrange Illinois
ttemporium,44,None
CustersCottage,2,Pauma Valley California
VintageMadeInTheUSA,120,None
StrangeRains,1024,Edmonton Canada
ReservedForRoyalty,1252,Chicago Illinois
paintedpony99,6910,Southington Connecticut
Balkanstar,310,None
PreciousMemoriesOne,5101,Kansas City Missouri
RockRollDreams,24,La Crosse Wisconsin
ThingsNeedful,69,Jackson Ohio
NannyLilasAttic,1440,Alton United Kingdom
MetropolitanChicShop,39,Ridgewood New Jersey
MuskRoseVintage,702,Canberra Australia
EbyVintage,1629,Namur Belgium
VintageFromLancaster,1226,Lancaster Pennsylvania
TheGoldDaisy,702,Langley Canada
DunedinSt,229,Christchurch New Zealand
ClarkandBloom,149,Colorado Springs Colorado
HodgePodgeAtHome,126,New London Pennsylvania
TheVintageAmerica,1053,Karlovo Bulgaria
BurlapRosesEtc,225,Raleigh North Carolina
myatticscharms,330,Campbell California
MeandMyImagination,334,Richmond Virginia
ClassicVinyl2,0,None
MiCasas4,175,Santa Barbara California
DustyMillerAntiques,1790,Middlebury Indiana
treasurestudio,824,Albuquerque New Mexico
WinterFinds,2153,None
Grandmalay,1556,Sicklerville New Jersey
DimitrijNigodoff,786,Santa Rosa California
CANDLEBERRYMARKET,644,None
DepartedCurios,8,Los Angeles California
yoursewunique,822,Gainesville Florida
TittiVintageStudio,48,Rome Italy
Something2SingAbout,466,Maiden Creek Pennsylvania
TimeTravelerShoppe,2,None
ReginasVault,125,None
HotOffTheOldPress,12,Portland Oregon
PapaTomsChinaCabinet,36,Fenton Missouri
GeorgeandBeth,3,London United Kingdom
PaperByAlphabetAmy,0,None
BlendedSplendid,3278,Portland Oregon
NorthglenAntiques,137,Hays Kansas
ChickieVintageLove,3309,Los Angeles California
AnitasCuriosityShop,391,None
variation,857,None
CaseVintageShop,1278,Cumberland Center Maine
LadybugNextDoor,2180,None
EstateCollector,7,Newmarket Canada
KnottyGrannyBoutique,92,None
SweetEmotionVintages,1519,Kitchener Canada
OnNancysWings,252,Gore Oklahoma
VintageCoolRecords,1490,Tampa Florida
FaeByNature,25,Hudson Wisconsin
LesTempsPerdus,1571,None
TwiceTreasures,1724,Broken Arrow Oklahoma
CreationsByMikaela,0,None
TheCreativePractice,38,Birmingham United Kingdom
SnowcatEphemera,64,None
TheRustyNail2,0,Laurens South Carolina
JackalopeMoonVintage,4,Phoenix Arizona
Glaesel,0,Essen Germany
twasonce,8,None
junkbay,1904,Las Vegas Nevada
TheNevermindShop,3,None
1northmainvintage,582,Dilworth Minnesota
autumnsvintageads,228,Lake Michigan Beach Michigan
LokisbooksNMore,33,None
GGandPopsPlace,645,Maine United States
AnEraOfMemories,1219,None
fromlosttofound,6179,Paradise Texas
RAVERETRO,860,Nottingham United Kingdom
THiMbleBiskit,51,Charlottesville Virginia
ViolonRouge,3,Santa Monica California
PlacesForTheHeart,388,Hendersonville Tennessee
JustFromTime,634,Saint Charles Missouri
1kingsdaughter,563,Longmont Colorado
Madrugar,85,Minneapolis Minnesota
BigCanyonVintage,405,San Diego California
Grotesiding,85,None
fromThePeddlersCart,1464,Aurora Colorado
AuntLizzysAttic,225,Dallas Texas
PhenixFinds,119,Whitefish Montana
MissAandMisterJShop,12,Bruges Belgium
FoundonBrighton,680,Toledo Ohio
OldVintageRetroStore,383,Hanover Pennsylvania
LostMyHook,9,Castle Rock Washington
LeGrandMogolBoutique,141,Madison Wisconsin
Analog21,232,Macedonia Ohio
VINTAGEGLAMOURPLUS,54,Shelby North Carolina
TheVintagePixiez,63,Spokane Washington
YearsofAntiques,44,Seminole Florida
DollsNTotesNThings,1115,Meredith New Hampshire
