price,comments,free_shipping2,bestseller2,sales,sellername
65.0,3.0,0,0,14.0,AmysCraftsNGoods
62.95,62.0,0,0,145.0,AnAccidentalQuilter
13.546000000000001,233.0,7,0,1219.0,AnEraOfMemories
6.243055555555555,105.0,0,0,512.0,AnOzarksGirl
6.98,52.0,0,0,264.0,AnaDessBoutique
1908.75,9.0,0,0,90.0,AnahartLab
185.0,3.0,0,0,15.0,AnahataDrums
9.0,50.0,0,0,232.0,Analog21
270.25,0.0,0,0,0.0,AnalogAlien
154.2125,5.0,0,0,15.0,AnalogFrog
155.39,44.0,0,0,394.0,AnalogOrdnance
15.142857142857142,66.0,14,0,382.0,AnalogUrgeRecords
8.0,22.0,0,0,73.0,AnayaPottery
18.236315789473686,2.0,0,0,8.0,AncestorsTreasures
14.666666666666666,39.0,0,0,157.0,AncestralDigs
10.0,2.0,0,0,5.0,AncestralSound
6.0,6.0,1,0,21.0,AnchorTownGifts
56.36666666666667,117.0,0,0,489.0,AncientMusic
82.33333333333333,217.0,0,0,701.0,AndTheCrow
1454.1666666666667,31.0,0,0,85.0,AndersenInstruments
48.0,19.0,0,0,83.0,Andersgifts
7.111111111111111,0.0,0,0,3.0,AndreasArrangements
29.0,135.0,0,0,1023.0,AndrewProninGallery
6.5,178.0,0,0,766.0,AndysAntiquesAndFarm
320.0,0.0,1,0,0.0,AndysPad
71.66666666666667,1.0,3,0,2.0,Andysdrums
19.659999999999997,139.0,0,0,537.0,AngieGoods
12.99,162.0,1,0,635.0,Angiescardsandgifts
162.34,1.0,0,0,7.0,AnimaShamanicArts
1571.23,0.0,0,0,0.0,AnistratovBagpipes
20.0,127.0,1,0,391.0,AnitasCuriosityShop
56.63999999999999,0.0,2,0,0.0,AnkaReedsShop
124.0,33.0,0,0,82.0,AnnaSirdanoush
17.46,0.0,0,0,2.0,AnnaWollhexe
20.0,0.0,0,0,2.0,AnnalisesCrafts
400.0,0.0,0,0,0.0,AnnasBoutiqueResale
11.0,330.0,0,0,1128.0,AnniesEclectics
16.777234042553197,185.0,94,0,710.0,AnniesRecords
39.9,0.0,0,0,0.0,AnotherTone
9.692307692307692,375.0,0,0,966.0,AnotherWomansTreasur
29.76,430.0,0,0,2998.0,AnthiLeoniDecor
138.0,11.0,0,0,62.0,AnthologyGearWear
23.27,1127.0,0,0,384.0,AntikhofWolf
13.337837837837839,1.0,0,0,8.0,AntiquarianCDs
136.0,0.0,0,0,13.0,Antique1Island
15.0,56.0,1,0,240.0,AntiqueAndBijou
28.0,166.0,1,0,637.0,AntiqueApartment
7.908653846153846,38.0,0,0,196.0,AntiqueBells
166.49,66.0,0,0,222.0,AntiqueDecoRingsShop
45.0,188.0,2,0,695.0,AntiqueGeneralStore
